,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MTFCC,OID,GEOID,STATE,PLACE,PLACENS,BASENAME,NAME,LSADC,FUNCSTAT,PLACECC,AREALAND,AREAWATER,UR,CBSAPCI,NECTAPCI,CENTLAT,CENTLON,INTPTLAT,INTPTLON,Influence (km),Population,Radius,Strength
0,0,0,0,G4110,27890708082705,800760,8,760,2412339,Aguilar,Aguilar town,43,A,C1,1016074, , ,N,N,37.4036257,-104.6550363,37.4036257,-104.6550363,,,,
1,1,1,1,G4110,27890369186672,800925,8,925,2412340,Akron,Akron town,43,A,C1,7180126, , ,N,N,40.16266307,-103.211933,40.1634664,-103.220274,0.9,2046.0,1.0,0.1
2,2,2,2,G4110,2789086215986,801090,8,1090,2409673,Alamosa,Alamosa city,25,A,C1,19679400,191961, ,N,N,37.4751844,-105.8770252,37.4745281,-105.8769557,1.89,9441.0,2.0,1.0
3,3,3,3,G4110,27890708937391,801530,8,1530,2412350,Alma,Alma town,43,A,C1,1123142,5712, ,N,N,39.2859458,-106.067039,39.2861312,-106.0688927,,,,
4,4,4,4,G4110,278901016274879,802355,8,2355,2412370,Antonito,Antonito town,43,A,C1,1104639, , ,N,N,37.0762463,-106.0103317,37.0762463,-106.0103317,,,,
5,5,5,5,G4110,27890708277436,803235,8,3235,2411647,Arriba,Arriba town,43,A,C1,1292241, , ,N,N,39.2843261,-103.2740321,39.2843261,-103.2740321,,,,
6,6,6,6,G4110,27890700461495,803455,8,3455,2409737,Arvada,Arvada city,25,A,C1,100776151,1709022, ,N,N,39.8229655711,-105.111984867824,39.8337279,-105.1503061,8.4,118746.0,6.0,5.0
7,7,7,7,G4110,27890359717123,803620,8,3620,2409743,Aspen,Aspen city,25,A,C1,9991633, , ,N,N,39.1951251,-106.8367723,39.1951251,-106.8367723,2.64,7431.0,2.0,1.0
8,8,8,8,G4110,27890370836030,803950,8,3950,2411653,Ault,Ault town,43,A,C1,4476075, , ,N,N,40.5892953,-104.7391796,40.5892953,-104.7391796,0.75,1947.0,1.0,0.1
9,9,9,9,G4110,27890700461496,804000,8,4000,2409757,Aurora,Aurora city,25,A,C1,414734036,1488882, ,Y,N,39.726712718263,-104.832320922876,39.7036326,-104.720088,8.39,369111.0,8.0,6.0
10,10,10,10,G4110,27890337812523,804110,8,4110,2411658,Avon,Avon town,43,A,C1,21624929,193500, ,N,N,39.634921624014,-106.523523220269,39.6418914,-106.5158096,1.03,6539.0,2.0,1.0
11,11,11,11,G4110,27890337812524,804935,8,4935,2411665,Basalt,Basalt town,43,A,C1,5157911,20308, ,N,N,39.3733248304248,-107.078221597063,39.3581803,-107.018596,1.12,3847.0,1.0,0.1
12,12,12,12,G4110,27890375577547,805265,8,5265,2411667,Bayfield,Bayfield town,43,A,C1,4263830, , ,N,N,37.2340621,-107.595151,37.2340621,-107.595151,1.6,2640.0,1.0,0.1
13,13,13,13,G4110,27890700461497,806090,8,6090,2411676,Bennett,Bennett town,43,A,C1,15007850,15567, ,N,N,39.758707765344,-104.429530383736,39.7459901,-104.4428415,0.7,2358.0,1.0,0.1
14,14,14,14,G4110,27890352622238,806255,8,6255,2411681,Berthoud,Berthoud town,43,A,C1,33497140,347194, ,N,N,40.3064498797516,-105.080910241464,40.2846751,-104.9655149,1.43,7191.0,2.0,1.0
15,15,15,15,G4110,27890349123017,806530,8,6530,2411684,Bethune,Bethune town,43,A,C1,419628, , ,N,N,39.3038224,-102.4234144,39.3038224,-102.4234144,,,,
16,16,16,16,G4110,27890705932711,807025,8,7025,2409856,Black Hawk,Black Hawk city,25,A,C1,6870701, , ,N,N,39.8041451,-105.4948978,39.8041451,-105.4948978,,,,
17,17,17,17,G4110,27890101552512,807190,8,7190,2411696,Blanca,Blanca town,43,A,C1,4747007, , ,N,N,37.4392677,-105.5135437,37.4392677,-105.5135437,,,,
18,18,18,18,G4110,27890710510596,807410,8,7410,2411700,Blue River,Blue River town,43,A,C1,6379238,257862, ,N,N,39.4359361,-106.0351523,39.4484645,-106.0367769,,,,
19,19,19,19,G4110,27890710077591,807571,8,7571,2411706,Bonanza,Bonanza town,43,A,C1,1132548, , ,N,N,38.2966175,-106.1418689,38.2966175,-106.1418689,,,,
20,20,20,20,G4110,27890709497183,807795,8,7795,2411709,Boone,Boone town,43,A,C1,980974,25478, ,N,N,38.2494361,-104.258104,38.2505956,-104.2609901,,,,
21,21,21,21,G4110,27890701442014,807850,8,7850,2409883,Boulder,Boulder city,25,A,C1,68187535,2688980, ,Y,N,40.0247935,-105.2524248,40.0245328,-105.2527552,5.21,106392.0,6.0,5.0
22,22,22,22,G4110,27890707232790,808070,8,8070,2411713,Bow Mar,Bow Mar town,43,A,C1,1714310,389964, ,N,N,39.6251808,-105.051177,39.6265942,-105.0509145,,,,
